0.17 0.962066 0.433843 -26.5873 -0.550003
0.18 0.965075 0.167964 -26.5724 -0.540365
0.19 0.965427 -0.0972822 -26.4606 -0.530711
0.2 0.963135 -0.360924 -26.2517 -0.521066
0.21 0.958217 -0.621993 -25.946 -0.511457
0.22 0.950707 -0.879526 -25.5446 -0.50191
0.23 0.940642 -1.13257 -25.049 -0.492451
0.24 0.928073 -1.3802 -24.4611 -0.483105
0.25 0.913059 -1.62149 -23.7835 -0.473898
0.26 0.895667 -1.85558 -23.0194 -0.464852
0.27 0.875974 -2.08161 -22.1724 -0.455992
0.28 0.854065 -2.29877 -21.2467 -0.44734
0.29 0.830031 -2.50629 -20.2468 -0.438918
0.3 0.803973 -2.70347 -19.1779 -0.430746
0.31 0.775998 -2.88964 -18.0453 -0.422845
0.32 0.746219 -3.06419 -16.855 -0.415232
0.33 0.714755 -3.22657 -15.613 -0.407926
0.34 0.68173 -3.37629 -14.3257 -0.400942
0.35 0.647273 -3.51295 -12.9998 -0.394296
0.36 0.611516 -3.63618 -11.642 -0.388001
0.37 0.574595 -3.74571 -10.2593 -0.38207
0.38 0.536648 -3.84131 -8.85855 -0.376513
0.39 0.497816 -3.92284 -7.44671 -0.37134
0.4 0.458239 -3.99023 -6.03067 -0.366559
0.41 0.418058 -4.04346 -4.61719 -0.362177
0.42 0.377416 -4.0826 -3.21288 -0.358199
0.43 0.336453 -4.10777 -1.82416 -0.35463
0.44 0.295307 -4.11916 -0.457165 -0.351471
0.45 0.254115 -4.11701 0.88224 -0.348724
0.46 0.213011 -4.10162 2.18853 -0.346388
0.47 0.172125 -4.07337 3.45654 -0.344463
0.48 0.131585 -4.03264 4.6815 -0.342945
0.49 0.0915125 -3.97989 5.85904 -0.34183
0.5 0.0520255 -3.91563 6.98525 -0.341112
0.51 0.0132366 -3.84037 8.05664 -0.340787
0.52 -0.0247471 -3.75469 9.07018 -0.340845
0.53 -0.0618244 -3.65917 10.0233 -0.341279
0.54 -0.0978998 -3.55443 10.9139 -0.342078
0.55 -0.132884 -3.44111 11.7403 -0.343233
0.56 -0.166695 -3.31984 12.5013 -0.344732
0.57 -0.199257 -3.1913 13.1961 -0.346563
0.58 -0.230499 -3.05614 13.8243 -0.348713
0.59 -0.26036 -2.91504 14.386 -0.351168
0.6 -0.288783 -2.76864 14.8815 -0.353915
0.61 -0.315717 -2.61762 15.3116 -0.356939
0.62 -0.341122 -2.46262 15.6774 -0.360224
0.63 -0.364959 -2.30429 15.9801 -0.363756
0.64 -0.387198 -2.14323 16.2215 -0.367518
0.65 -0.407816 -1.98006 16.4033 -0.371495
0.66 -0.426794 -1.81535 16.5276 -0.375669
0.67 -0.44412 -1.64969 16.5968 -0.380025
0.68 -0.459787 -1.48359 16.6131 -0.384546
0.69 -0.473792 -1.31759 16.5791 -0.389215
0.7 -0.48614 -1.15217 16.4975 -0.394016
0.71 -0.496839 -0.987792 16.3708 -0.398932
0.72 -0.505901 -0.824894 16.2018 -0.403947
0.73 -0.513343 -0.663887 15.9934 -0.409045
0.74 -0.519187 -0.50515 15.7481 -0.414209
0.75 -0.523455 -0.349038 15.4688 -0.419424
0.76 -0.526177 -0.195879 15.1581 -0.424673
0.77 -0.527384 -0.0459713 14.8188 -0.429942
0.78 -0.527108 0.10041 14.4534 -0.435216
0.79 -0.525388 0.243018 14.0644 -0.440479
0.8 -0.522261 0.381628 13.6543 -0.445719
0.81 -0.517769 0.51604 13.2253 -0.45092
0.82 -0.511955 0.646079 12.7798 -0.45607
0.83 -0.504863 0.771589 12.32 -0.461155
0.84 -0.496539 0.892437 11.8477 -0.466163
0.85 -0.48703 1.00851 11.3651 -0.471082
0.86 -0.476385 1.11971 10.8738 -0.4759
0.87 -0.464652 1.22596 10.3757 -0.480606
0.88 -0.451882 1.32721 9.87225 -0.485189
0.89 -0.438125 1.42339 9.3651 -0.48964
0.9 -0.423431 1.5145 8.85561 -0.493949
0.91 -0.407852 1.6005 8.34511 -0.498106
0.92 -0.391438 1.6814 7.83482 -0.502103
0.93 -0.374241 1.7572 7.32588 -0.505932
0.94 -0.356311 1.82793 6.81934 -0.509585
0.95 -0.337699 1.8936 6.31619 -0.513056
0.96 -0.318456 1.95427 5.81733 -0.516337
0.97 -0.298631 2.00997 5.32358 -0.519423
0.98 -0.278273 2.06076 4.83573 -0.522308
0.99 -0.257432 2.1067 4.35448 -0.524987
1 -0.236155 2.14787 3.88048 -0.527455
